project,target,configuration,hash,code,status,start,end
feature-spartanui-ui-aspectratio-helm,build,production,13643572101383042452,0,success,1720308034049,1720308036411
feature-spartanui-ui-alertdialog-helm,build,production,10056280244737765147,1,failure,1720308034049,1720308036520
ui,build,development,9031789738144267512,1,failure,1720308034049,1720308037542
feature-spartanui-ui-pagination-helm,build,production,3714354031742377691,1,failure,1720308036411,1720308038495
feature-spartanui-ui-radiogroup-helm,build,production,8922548876262920774,0,success,1720308036520,1720308038599
feature-spartanui-ui-scrollarea-helm,build,production,394056192986311942,0,success,1720308037543,1720308039552
feature-spartanui-ui-accordion-helm,build,production,6017669384922707289,1,failure,1720308038599,1720308040588
feature-spartanui-ui-typography-helm,build,production,2508123575340660171,0,success,1720308038495,1720308040730
feature-spartanui-ui-hovercard-helm,build,production,12788149639497102811,0,success,1720308039552,1720308041720
feature-spartanui-ui-separator-helm,build,production,2659206355753233025,0,success,1720308040589,1720308042982
feature-spartanui-ui-carousel-helm,build,production,10553910340054043933,1,failure,1720308040730,1720308043238
feature-spartanui-ui-checkbox-helm,build,production,2920193099575472122,1,failure,1720308041721,1720308044084
feature-spartanui-ui-progress-helm,build,production,17383509995125198967,0,success,1720308042982,1720308045059
feature-spartanui-ui-skeleton-helm,build,production,5884020410849693939,0,success,1720308043238,1720308045176
feature-spartanui-ui-command-helm,build,production,1378713958616864824,1,failure,1720308044085,1720308046146
feature-spartanui-ui-popover-helm,build,production,11357926341743517058,0,success,1720308045060,1720308046941
feature-spartanui-ui-spinner-helm,build,production,8830940559857309057,0,success,1720308045176,1720308047055
feature-spartanui-ui-tooltip-helm,build,production,8422760238387362059,0,success,1720308046146,1720308048069
feature-spartanui-ui-button-helm,build,production,2576888304118957401,0,success,1720308047055,1720308049105
feature-spartanui-ui-avatar-helm,build,production,13900340323958062462,0,success,1720308046941,1720308049171
feature-spartanui-ui-dialog-helm,build,production,16364102974589129532,1,failure,1720308048069,1720308050635
feature-spartanui-ui-select-helm,build,production,7081311178944197923,1,failure,1720308049105,1720308051563
feature-spartanui-ui-sonner-helm,build,production,3903726537084101589,0,success,1720308049171,1720308051581
feature-spartanui-ui-switch-helm,build,production,10761113237687441796,0,success,1720308050635,1720308052555
feature-spartanui-ui-alert-helm,build,production,15368890139509383602,1,failure,1720308051582,1720308053469
feature-spartanui-ui-toggle-helm,build,production,6700496136665697648,0,success,1720308051563,1720308053492
feature-spartanui-ui-badge-helm,build,production,5578832160244088626,0,success,1720308052556,1720308054457
feature-spartanui-ui-input-helm,build,production,13794734435320107363,0,success,1720308053469,1720308055349
feature-spartanui-ui-label-helm,build,production,18207539691584214626,0,success,1720308053492,1720308055434
feature-spartanui-ui-sheet-helm,build,production,5684549252051506709,1,failure,1720308054457,1720308056466
feature-spartanui-ui-card-helm,build,production,16776992841925900415,0,success,1720308055434,1720308057444
feature-spartanui-ui-table-helm,build,production,6022792471565071068,0,success,1720308055349,1720308057494
feature-spartanui-ui-helm-helm,build,production,1003321666112605834,0,success,1720308056466,1720308058663
feature-spartanui-ui-icon-helm,build,production,4724285577118174032,0,success,1720308057445,1720308060794
feature-spartanui-ui-menu-helm,build,production,6020234382344614874,1,failure,1720308057495,1720308060825
feature-spartanui-ui-tabs-helm,build,production,4943096392655568601,0,success,1720308058663,1720308061377
mantis-ui,serve,development,8987378562872315821,1,failure,1720308655941,1720308670112
mantis-ui,serve,development,5585594078728838293,1,failure,1720309334504,1720309370259
mantis-ui,serve,development,7273662523692121120,1,failure,1720309750411,1720309774515
mantis-ui,serve,development,11614423386308397075,1,failure,1720310041189,1720310353545
